#상품명|key:string|slotindex:int|groupindex:int|orderindex:int|conditionType:int|conditionValue:int|minLevel:int|cashValue:int|paymentData:string|startDate:datetime|rewardValue:list<curpair>|ItemNameSrt:string|imagePath:string|isFree:int|isAvail:int|isShow:int
성장 패스5|growth_pass_5|10004|100|4|4|41|0|6000|consume_6000|2026-03-09|cur_diamond-200, cur_gem-1000|iap_growth_pass_5||0|0|1
성장 패스6|growth_pass_6|10005|100|5|4|51|0|7000|consume_7000|2026-03-09|cur_diamond-200, cur_gem-1000|iap_growth_pass_6||0|0|1
표류자 지원 패키지 1|newbie_pack_1|5000|5|0|0|0|0|100|consume_100|2026-03-09|cur_gem-1000, cur_mastery-100, cur_gold-10000, cur_potion-5|iap_newbie_pack_1||0|0|1
표류자 지원 패키지 2|newbie_pack_2|5001|5|1|0|0|0|500|consume_500|2026-03-09|cur_gem-6000, cur_mastery-350, cur_gold-60000, cur_potion-25|iap_newbie_pack_2||0|0|1
표류자 지원 패키지 3|newbie_pack_3|5002|5|2|0|0|0|1000|consume_1000|2026-03-09|cur_gem-13000, cur_mastery-800, cur_gold-130000, cur_potion-55|iap_newbie_pack_3||0|0|1
표류자 지원 패키지 4|newbie_pack_4|5003|5|3|0|0|0|3000|consume_3000|2026-03-09|cur_gem-40000, cur_mastery-2500, cur_gold-400000, cur_potion-180|iap_newbie_pack_4||0|0|1
산호초 고래|whale_001|6000|6|0|3|0|0|700|consume_700|2026-03-09|skin_whale_001-1|iap_whale_001|Assets\Resources\Icon\skin\whale|0|0|1
범고래|whale_002|6001|6|1|3|0|0|700|consume_700|2026-03-09|skin_whale_002-1|iap_whale_002|Assets\Resources\Icon\skin\whale|0|0|1
세일러복 고래|whale_003|6002|6|2|3|0|0|700|consume_700|2026-03-09|skin_whale_003-1|iap_whale_003|Assets\Resources\Icon\skin\whale|0|0|1
집사복 고래|whale_004|6003|6|3|3|0|0|700|consume_700|2026-03-09|skin_whale_004-1|iap_whale_004|Assets\Resources\Icon\skin\whale|0|0|1
은하수 고래|whale_005|6004|6|4|3|0|0|700|consume_700|2026-03-09|skin_whale_005-1|iap_whale_005|Assets\Resources\Icon\skin\whale|0|0|1
솜사탕 고래|whale_006|6005|6|5|3|0|0|700|consume_700|2026-03-09|skin_whale_006-1|iap_whale_006|Assets\Resources\Icon\skin\whale|0|0|1
스노클링 고래|whale_007|6006|6|6|3|0|0|700|consume_700|2026-03-09|skin_whale_007-1|iap_whale_007|Assets\Resources\Icon\skin\whale|0|0|1
향유 고래|whale_008|6007|6|7|3|0|0|700|consume_700|2026-03-09|skin_whale_008-1|iap_whale_008|Assets\Resources\Icon\skin\whale|0|0|1
체리 블로섬 고래|whale_009|6008|6|8|3|0|0|700|consume_700|2026-03-09|skin_whale_009-1|iap_whale_009|Assets\Resources\Icon\skin\whale|0|0|1
돌고래|whale_010|6009|6|9|3|0|0|700|consume_700|2026-03-09|skin_whale_010-1|iap_whale_010|Assets\Resources\Icon\skin\whale|0|0|1
서부의 고래|whale_011|6010|6|10|3|0|0|700|consume_700|2026-03-09|skin_whale_011-1|iap_whale_011|Assets\Resources\Icon\skin\whale|0|0|1
고래 상어|whale_012|6011|6|11|3|0|0|700|consume_700|2026-03-09|skin_whale_012-1|iap_whale_012|Assets\Resources\Icon\skin\whale|0|0|1
